LOAD_ID,LOAD_DATE,LAST_UPDATE,Main artist,Album,Track Id,Title,Feat,Duration,Year,Category
10012,2018-06-30,2018-06-30,Björk,Bachelorette,1,Hunter,,04:15,1997,Vocal|Alternative
10012,2018-06-30,2018-06-30,Björk,Bachelorette,10,All Is Full of Love,,04:33,1997,Vocal|Alternative
10012,2018-06-30,2018-06-30,Björk,Bachelorette,2,Jóga,Sjón,05:05,1997,Vocal|Alternative
10012,2018-06-30,2018-06-30,Björk,Bachelorette,3,Unravel,Guy Sigworth,03:21,1997,Vocal|Alternative
10012,2018-06-30,2018-06-30,Björk,Bachelorette,4,Bachelorette,Sjón,05:12,1997,Vocal|Alternative
10012,2018-06-30,2018-06-30,Björk,Bachelorette,5,All neon like,,05:53,1997,Vocal|Alternative
10012,2018-06-30,2018-06-30,Björk,Bachelorette,6,5 years,,04:29,1997,Vocal|Alternative
10012,2018-06-30,2018-06-30,Björk,Bachelorette,7,Immature,,03:06,1997,Vocal|Alternative
10012,2018-06-30,2018-06-30,Björk,Bachelorette,8,Alarm Call,,04:19,1997,Vocal|Alternative
10012,2018-06-30,2018-06-30,Björk,Bachelorette,9,Pluto,Mark Bell,03:19,1997,Vocal|Alternative
10001,2018-06-30,2018-06-30,Björk,Vespertine,1,Hidden Place,,05:28,2001,Vocal|Alternative
10010,2018-06-30,2018-06-30,Björk,Vespertine,10,Heirloom,Console,05:12,2001,Vocal|Alternative
10011,2018-06-30,2018-06-30,Björk,Vespertine,11,Harm of Will,"Guy Sigsworth, Harmony Korine",04:36,2001,Vocal|Alternative
10012,2018-06-30,2018-06-30,Björk,Vespertine,12,Unison,,06:45,2001,Vocal|Alternative
10002,2018-06-30,2018-06-30,Björk,Vespertine,2,Cocoon,Thomas Knak,04:28,2001,Vocal|Alternative
10003,2018-06-30,2018-06-30,Björk,Vespertine,3,It's Not Up to You,,05:08,2001,Vocal|Alternative
10004,2018-06-30,2018-06-30,Björk,Vespertine,4,Undo,Thomas Knak,05:38,2001,Vocal|Alternative
10005,2018-06-30,2018-06-30,Björk,Vespertine,5,Pagan Poetry,,05:14,2001,Vocal|Alternative
10006,2018-06-30,2018-06-30,Björk,Vespertine,6,Frosti,,01:41,2001,Vocal|Alternative
10007,2018-06-30,2018-06-30,Björk,Vespertine,7,Aurora,,04:39,2001,Vocal|Alternative
10008,2018-06-30,2018-06-30,Björk,Vespertine,8,"An Echo, a Stain ",Guy Sigsworth,04:04,2001,Vocal|Alternative
10009,2018-06-30,2018-06-30,Björk,Vespertine,9,Sun in My Mouth,"E.E. Cummings, Guy Sigsworth",02:40,2001,Vocal|Alternative

